status,state,city,street,last_checked,longitude,latitude,scraped_datetime
inactive,NY,New York,160 Broadway,7/11/2021 4:57,-74.010086,40.709438,9/22/2022 17:00
inactive,NY,New York,167 Chambers St (303 Greenwich St),7/11/2021 4:57,-74.010736,40.716366,9/22/2022 17:00
inactive,NY,New York,262 Canal St,7/11/2021 4:57,-74.001052,40.718587,9/22/2022 17:00
inactive,NY,New York,213 Madison Street,1/5/2021 5:57,-73.989226,40.712839,9/22/2022 17:00
broken,NY,New York,114 Delancey St,9/22/2022 14:05,-73.988281,40.71883,9/22/2022 17:00
working,NY,New York,208 Varick St,9/22/2022 14:05,-74.00509,40.728794,9/22/2022 17:00
inactive,NY,New York,136 W 3rd St,8/18/2022 6:16,-74.001076,40.730804,9/22/2022 17:00
working,NY,New York,724 Broadway,9/22/2022 14:04,-73.993408,40.729197,9/22/2022 17:00
working,NY,New York,102 1st Ave,9/22/2022 14:05,-73.985855,40.726555,9/22/2022 17:00
working,NY,Brooklyn,82 Court St,9/22/2022 14:05,-73.991692,40.691383,9/22/2022 17:00
working,NY,New York,404 E 14th St,9/22/2022 14:04,-73.982277,40.731014,9/22/2022 17:00
working,NY,New York,541 6th Ave,9/22/2022 14:04,-73.996726,40.737864,9/22/2022 17:00
inactive,NY,Brooklyn,420 Fulton St,9/3/2022 5:00,-73.986206,40.690838,9/22/2022 17:00
broken,NY,New York,39 Union Square W,9/22/2022 14:05,-73.990517,40.736977,9/22/2022 17:00
broken,NJ,Jersey City,30 Mall Dr W,9/22/2022 14:04,-74.0387,40.726501,9/22/2022 17:00
broken,NJ,Jersey City,325 Grove St,9/22/2022 14:04,-74.043057,40.719843,9/22/2022 17:00
broken,NY,Brooklyn,395 Flatbush Ave Exten,9/22/2022 14:04,-73.98067,40.688963,9/22/2022 17:00
working,NY,New York,686 6th Ave,9/22/2022 14:05,-73.993286,40.741928,9/22/2022 17:00
working,NY,New York,26 E 23rd St,9/22/2022 14:04,-73.987856,40.740654,9/22/2022 17:00
broken,NY,New York,336 E 23rd St,9/22/2022 14:04,-73.979165,40.736945,9/22/2022 17:00
working,NJ,Jersey City,197 12th St,9/22/2022 14:04,-74.0426,40.729858,9/22/2022 17:00
working,NJ,Hoboken,234 Washington St,9/22/2022 14:05,-74.030396,40.739906,9/22/2022 17:00
working,NY,New York,401 Park Ave S,9/22/2022 14:04,-73.98393,40.743156,9/22/2022 17:00
broken,NY,Manhattan,809/811 6th Ave/28th,9/22/2022 14:04,-73.990845,40.745995,9/22/2022 17:00
working,NY,Manhattan,335 8th Ave,9/22/2022 14:04,-73.997088,40.747569,9/22/2022 17:00
working,NY,Brooklyn,267 Broadway,9/22/2022 14:05,-73.959017,40.70893,9/22/2022 17:00
broken,NJ,Jersey City,428 Grand St,9/22/2022 14:04,-74.053314,40.717419,9/22/2022 17:00
broken,NY,New York,480 3rd Ave,9/22/2022 14:04,-73.978949,40.744904,9/22/2022 17:00
working,NY,New York,429 7th Ave,9/22/2022 14:04,-73.990724,40.750544,9/22/2022 17:00
working,NY,Brooklyn,357 Hamilton Ave,9/22/2022 14:05,-73.999161,40.673519,9/22/2022 17:00
broken,NY,New York,151 West 34th Street,9/22/2022 14:04,-73.989538,40.750779,9/22/2022 17:00
broken,NY,New York,972 6th Ave,9/22/2022 14:04,-73.986819,40.750816,9/22/2022 17:00
working,NY,Manhattan,490 8th Ave,9/22/2022 14:04,-73.993004,40.75251,9/22/2022 17:00
working,NY,Brooklyn,904 Manhattan Ave,9/22/2022 14:05,-73.954109,40.730389,9/22/2022 17:00
working,NY,Brooklyn,840 Atlantic Ave,9/22/2022 14:04,-73.966927,40.681351,9/22/2022 17:00
working,NY,New York,556 7th Ave,9/22/2022 14:04,-73.988188,40.754673,9/22/2022 17:00
working,NY,New York,18 E 42nd St,9/22/2022 14:04,-73.98028,40.753042,9/22/2022 17:00
working,NY,Brooklyn,289 9th St,9/22/2022 14:05,-73.986854,40.669625,9/22/2022 17:00
working,NJ,Jersey City,260 Central Ave,9/22/2022 14:04,-74.05078,40.743783,9/22/2022 17:00
broken,NY,New York,688 8th Ave Frnt 1,9/22/2022 14:04,-73.988945,40.758118,9/22/2022 17:00
broken,NY,New York,1528 Broadway,9/22/2022 14:04,-73.985452,40.757385,9/22/2022 17:00
broken,NY,Brooklyn,741 Grand St,9/22/2022 14:05,-73.943154,40.711849,9/22/2022 17:00
broken,NJ,Jersey City,2873 John F Kennedy Blvd,9/22/2022 14:04,-74.06469,40.731762,9/22/2022 17:00
working,NY,Manhattan,14 E 47th St,9/22/2022 14:04,-73.977799,40.756223,9/22/2022 17:00
working,NY,New York,1188 6th Ave,9/22/2022 14:04,-73.98185,40.757629,9/22/2022 17:00
broken,NY,Brooklyn,700 Broadway,9/22/2022 14:05,-73.943489,40.701332,9/22/2022 17:00
working,NY,Brooklyn,652 Meeker Ave,9/22/2022 14:04,-73.940483,40.72208,9/22/2022 17:00
working,NY,New York,824 3rd Avenue 50th St,9/22/2022 14:04,-73.970751,40.756163,9/22/2022 17:00
broken,NY,Manhattan,1651 Broadway,9/22/2022 14:04,-73.983757,40.762244,9/22/2022 17:00
broken,NJ,Jersey City,737 Secaucus Rd,9/22/2022 14:05,-74.044594,40.756408,9/22/2022 17:00
working,NY,Brooklyn,1275 Fulton Steet,9/22/2022 14:04,-73.95034,40.680573,9/22/2022 17:00
working,NJ,Jersey City,390 Martin Luther King Drive,9/22/2022 14:04,-74.078182,40.711435,9/22/2022 17:00
broken,NY,New York,946 8th Ave,9/22/2022 14:04,-73.983273,40.765877,9/22/2022 17:00
broken,NY,New York,966 3rd Ave,9/22/2022 14:05,-73.967323,40.760838,9/22/2022 17:00
working,NY,Brooklyn,968 4th Ave,9/22/2022 14:04,-74.005402,40.653751,9/22/2022 17:00
working,NY,Brooklyn,1531 Fulton St,9/22/2022 14:04,-73.940102,40.680096,9/22/2022 17:00
working,NY,Brooklyn,57 Empire Blvd,9/22/2022 14:04,-73.959984,40.663731,9/22/2022 17:00
working,NJ,Jersey City,891 Cummunipaw Ave,9/22/2022 14:05,-74.084831,40.722092,9/22/2022 17:00
working,NY,New York,1286 1st Ave,9/22/2022 14:04,-73.957161,40.765888,9/22/2022 17:00
working,NJ,Union City,3215 Kennedy Blvd,9/22/2022 14:04,-74.031746,40.77544,9/22/2022 17:00
working,NY,Brooklyn,428 Knickerbocker Ave,9/22/2022 14:04,-73.919655,40.699417,9/22/2022 17:00
working,NY,Brooklyn,180 Parkside Ave,9/22/2022 14:05,-73.96169,40.654762,9/22/2022 17:00
working,NY,Long Island City,33-80 Queens Blvd,9/22/2022 14:04,-73.926903,40.74366,9/22/2022 17:00
broken,NY,New York,2049 Broadway,9/22/2022 14:04,-73.982472,40.777901,9/22/2022 17:00
working,NY,Brooklyn,1380 Broadway,9/22/2022 14:04,-73.921887,40.689106,9/22/2022 17:00
inactive,NY,Brooklyn,5121 5th Ave,8/29/2022 5:22,-74.011246,40.644005,9/22/2022 17:00
working,NY,Brooklyn,3525 Fort Hamilton Pky,9/22/2022 14:04,-73.987686,40.644569,9/22/2022 17:00
working,NY,Brooklyn,1133 Eastern Parkway,9/22/2022 14:04,-73.930779,40.669163,9/22/2022 17:00
working,NY,Brooklyn,1883 Atlantic Avenue,9/22/2022 14:04,-73.922554,40.677324,9/22/2022 17:00
inactive,NY,Ridgewood,54-29 Metropolitan Ave,7/10/2021 16:31,-73.909698,40.713337,9/22/2022 17:00
inactive,NJ,West New York,5400 Bergenline Ave,7/10/2021 16:31,-74.018883,40.785122,9/22/2022 17:00
inactive,NY,Ridgewood,54-04 Myrtle Ave,7/10/2021 16:31,-73.910468,40.699519,9/22/2022 17:00
inactive,NY,Brooklyn,943 Flatbush Ave,7/10/2021 16:31,-73.958168,40.648705,9/22/2022 17:00
working,NJ,Bayonne,157 W 63rd St,9/22/2022 14:04,-74.102867,40.694359,9/22/2022 17:00
working,NY,New York,1499 3rd Ave,9/22/2022 14:03,-73.954515,40.777789,9/22/2022 17:00
working,NY,Maspeth,59-60 55th Road,9/22/2022 14:04,-73.9067,40.726299,9/22/2022 17:00
working,NY,Long Island City,3255 31st St,9/22/2022 14:04,-73.926186,40.760616,9/22/2022 17:00
working,NY,Long Island City,3146 21st St,9/22/2022 14:04,-73.930984,40.766312,9/22/2022 17:00
working,NY,Brooklyn,701 Utica Ave,9/22/2022 14:03,-73.930542,40.656101,9/22/2022 17:00
working,NY,Brooklyn,7124 3rd Ave,9/22/2022 14:04,-74.027039,40.633682,9/22/2022 17:00
working,NY,Astoria,31-67 Steinway St,9/22/2022 14:04,-73.918343,40.759495,9/22/2022 17:00
working,NY,Brooklyn,880 Coney Island Avenue,9/22/2022 14:04,-73.968124,40.635811,9/22/2022 17:00
working,NY,Brooklyn,1642 Pitkin Ave,9/22/2022 14:03,-73.912406,40.669307,9/22/2022 17:00
working,NY,Woodside,51-35 Northern Blvd,9/22/2022 14:04,-73.908358,40.75348,9/22/2022 17:00
working,NY,New York,1871 2nd Ave,9/22/2022 14:04,-73.947028,40.784657,9/22/2022 17:00
working,NJ,Secaucus,400 Park Place,9/22/2022 14:04,-74.042412,40.792986,9/22/2022 17:00
working,NY,New York,2549 Broadway,9/22/2022 14:03,-73.972343,40.794389,9/22/2022 17:00
broken,NY,Brooklyn,5707-13 Church Ave,9/22/2022 14:04,-73.923203,40.652718,9/22/2022 17:00
